"filename", "language", "TOML", "Rust", "JSON", "comment", "blank", "total"
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\rand-b08b3771112215ed\lib-rand.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\rand-f827d9bc70808490\lib-rand.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\rand_chacha-168d6db565f14912\lib-rand_chacha.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\rand_chacha-3b34f01a38d77d33\lib-rand_chacha.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\rand_core-c63b4fd1a25aca0a\lib-rand_core.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\rand_core-dce6e40008f9090e\lib-rand_core.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\windows-sys-97c39527e0de43f3\lib-windows-sys.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\windows-sys-9bd495d53b8103d4\lib-windows-sys.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\windows-targets-124643dafcf27ba4\lib-windows-targets.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\windows-targets-3eb01b83033930aa\lib-windows-targets.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\windows_x86_64_msvc-56d328d50203674b\run-build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\windows_x86_64_msvc-9cb6c844d0c61af1\build-script-build-script-build.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\windows_x86_64_msvc-dc19799fa9cad29c\lib-windows_x86_64_msvc.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\windows_x86_64_msvc-e331de0b14128e42\lib-windows_x86_64_msvc.json", "JSON", 0, 0, 1, 0, 0, 1
"Total", "-", 137, 736, 43, 24, 221, 1161
